UniqueKey,year,category_id,category,subcategory_id,subcategory,project_id,project,amout
2012-1,2012,1,議会費,1.1,議会費,project-1,議会費,252534687
2012-2,2012,2,総務費,2.1,総務費,project-2,総務費,3910069670
2012-3,2012,3,民生費,3.1,民生費,project-3,民生費,8332304453
2012-4,2012,4,衛生費,4.1,衛生費,project-4,衛生費,2897170814
2012-5,2012,5,労働費,5.1,労働費,project-5,労働費,61317771
2012-6,2012,6,農林水産費,6.1,農林水産費,project-6,農林水産費,2320106335
2012-7,2012,7,商工費,7.1,商工費,project-7,商工費,815660784
2012-8,2012,8,土木費,8.1,土木費,project-8,土木費,3519565760
2012-9,2012,9,消防費,9.1,消防費,project-9,消防費,1022510944
2012-10,2012,10,教育費,10.1,教育費,project-10,教育費,3854656329
2012-11,2012,11,災害復旧費,11.1,災害復旧費,project-11,災害復旧費,72206576
2012-12,2012,12,公債費,12.1,公債費,project-12,公債費,6378133326
2012-13,2012,13,予備費,13.1,予備費,project-13,予備費,0
